"year","month","day","time","tank","temperature"
2017,1,2,1540,19,2.1
2017,1,2,945,20,2.1
2017,1,2,1540,20,2
2017,1,2,945,21,2.1
2017,1,2,1540,21,2
2017,1,2,945,22,2.1
2017,1,2,1540,22,2.1
2017,1,2,945,23,2.2
2017,1,2,1540,23,2.2
2017,1,2,945,24,2.3
2017,1,2,1540,24,2.2
2017,1,2,945,25,2.2
2017,1,2,1540,25,2.1
2017,1,2,945,26,2.2
2017,1,2,1540,26,2.1
2017,1,2,945,27,2.2
2017,1,2,1540,27,2.1
2017,1,2,945,28,2.2
2017,1,2,1540,28,2.1
2017,1,2,945,29,2.2
2017,1,2,1540,29,2.1
2017,1,2,945,30,2.1
2017,1,2,1540,30,2
2017,1,2,945,31,2.2
2017,1,2,1540,31,2.1
2017,1,2,945,32,2
2017,1,2,1540,32,2.1
2017,1,2,945,33,2
2017,1,2,1540,33,2
2017,1,2,945,34,2.1
2017,1,2,1540,34,2.1
2017,1,2,945,35,2.1
2017,1,2,1540,35,2.1
2017,1,2,945,36,2.1
2017,1,2,1540,36,2.1
2017,1,3,930,1,2
2017,1,3,1515,1,2
2017,1,3,930,2,2
2017,1,3,1515,2,2
2017,1,3,930,3,2
2017,1,3,1515,3,2
2017,1,3,930,4,2
2017,1,3,1515,4,2
2017,1,3,930,5,2
2017,1,3,1515,5,2
2017,1,3,930,6,2
2017,1,3,1515,6,1.9
2017,1,3,930,7,2
2017,1,3,1515,7,1.8
2017,1,3,930,8,2
2017,1,3,1515,8,1.9
2017,1,3,930,9,2
2017,1,3,1515,9,1.9
2017,1,3,930,10,2
2017,1,3,1515,10,1.9
2017,1,3,930,11,2
2017,1,3,1515,11,1.9
2017,1,3,930,12,1.9
2017,1,3,1515,12,1.8
2017,1,3,930,13,1.9
2017,1,3,1515,13,1.8
2017,1,3,930,14,2
2017,1,3,1515,14,1.9
2017,1,3,930,15,2
2017,1,3,1515,15,1.9
2017,1,3,930,16,2
2017,1,3,1515,16,1.9
2017,1,3,930,17,2
2017,1,3,1515,17,1.9
2017,1,3,930,18,2
2017,1,3,1515,18,2
2017,1,3,930,19,2.1
2017,1,3,1515,19,1.9
2017,1,3,930,20,2
2017,1,3,1515,20,1.9
2017,1,3,930,21,2
2017,1,3,1515,21,1.9
2017,1,3,930,22,2
2017,1,3,1515,22,1.9
2017,1,3,930,23,2.1
2017,1,3,1515,23,2
2017,1,3,930,24,2.1
2017,1,3,1515,24,2
2017,1,3,930,25,2
2017,1,3,1515,25,2
2017,1,3,930,26,2
2017,1,3,1515,26,1.9
2017,1,3,930,27,1.9
2017,1,3,1515,27,1.9
2017,1,3,930,28,2
